"","Feci_LPS_2.5H_944_26022024","Feci_LPS_2.5H_945_26022024","Feci_LPS_2.5H_946_26022024","Feci_LPS_2.5H_947_26022024","Feci_LPS_2.5H_948_26022024","Feci_LPS_2.5H_949_26022024","Feci_LPS_2.5H_950_26022024","Feci_LPS_2.5H_953_26022024","Feci_LPS_24H_954_26022024","Feci_LPS_24H_955_26022024","Feci_LPS_24H_956_26022024","Feci_LPS_24H_957_27022024","Feci_LPS_24H_958_26022024","Feci_LPS_24H_959_26022024","Feci_LPS_24H_961_27022024","Feci_LPS_24H_962_27022024","Feci_LPS_24H_963_27022024","Feci_LPS-24H960REP_01032024","Feci_Vecpac-CRE_3296_01032024","Feci_Vecpac-CRE_3303_01032024","Feci_Vecpac-CRE_3304_01032024","Feci_Vecpac-CRE_3305_01032024","Feci_Vecpac-CRE_3306_01032024","Feci_Vecpac-CRE_3318_01032024","Feci_Vecpac-CRE_3328REP_01032024","Feci_Vecpac-CRE_3330_01032024","Feci_Vecpac-CRE_3334_01032024","Feci_Vecpac-CRE_3335_01032024","Feci_Vecpac-CRE_3347_01032024","Feci_Vecpac-CRE_3352REP_01032024","Feci_Vecpac-CRE_3355REP_01032024","Feci_Vecpac-CRE_3356_01032024","Feci_Vecpac-CRE_3370_01032024","Feci_Vecpac-CRE_3664_29022024","Feci_Vecpac-CRE_3665_29022024","Feci_Vecpac-CRE_3689_29022024","Feci_LPS_CTRL_934_23022024","Feci_LPS_CTRL_935_23022024","Feci_LPS_CTRL_936_23022024","Feci_LPS_CTRL_937_23022024","Feci_LPS_CTRL_938_26022024","Feci_LPS_CTRL_939_26022024","Feci_LPS_CTRL_940_26022024","Feci_LPS_CTRL_943_26022024","Feci_LPS-CTRL_941REP_01032024","75_feci_100322","100_rep_110322","101_rep_110322","102_feci_100322","103_rep_110322","104_feci_100322","105_rep_110322","106_110322","Feci_DSS-T0_896_27022024","Feci_DSS-T0_897_27022024","Feci_DSS-T0_T0.5_27022024","Feci_DSS-T0_T0.6_27022024","Feci_DSS-T0_T0.7_27022024","Feci_DSS-T0_T0.8_27022024","81_feci_100322","83_feci_20_81","84_feci_100322","108_rep_110322","109_110322","110_110322","113_110322","Feci_DSS-T1_111_27022024","Feci_DSS-T1_B901_27022024","Feci_DSS-T1_B902_27022024","Feci_DSS-T1_T1.5_27022024","Feci_DSS-T1_T1.6_27022024","Feci_DSS-T1_T1.7_27022024","Feci_DSS-T1_T1.8_27022024","88_feci_100322","89_feci_100322","115_110322","116_110322","118_110322","120_110322","121_REP_140322","122_110322","Feci_DSS-T3_90_28022024","Feci_DSS-T3_91_28022024","Feci_DSS-T3_906_28022024","Feci_DSS-T3_907_rep_28022024_2","Feci_DSS-T3_T3.6_28022024","Feci_DSS-T3_T3.7_28022024","Feci_DSS-T3_T3.8_28022024","70_feci_09032022","96_feci_100322","97_rep110322","124_110322","125_110322","126_110322","129_110322","Feci_DSS-T5_128_28022024","Feci_DSS-T5_B911_28022024","Feci_DSS-T5_B912_28022024","Feci_DSS-T5_T5.5_28022024","Feci_DSS-T5_T5.6_28022024","Feci_DSS-T5_T5.7_28022024","Feci_DSS-T5_T5.8_28022024","Feci_Vecpac-WT_3297REP_01032024","Feci_Vecpac-WT_3371REP_01032024","Feci_Vecpac-WT_3302_29022024","Feci_Vecpac-WT_3307_29022024","Feci_Vecpac-WT_3319_29022024","Feci_Vecpac-WT_3329_29022024","Feci_Vecpac-WT_3336_29022024","Feci_Vecpac-WT_3337_29022024","Feci_Vecpac-WT_3353_29022024","Feci_Vecpac-WT_3354_29022024","Feci_Vecpac-WT_3369_29022024","Feci_Vecpac-WT_3673_28022024","Feci_Vecpac-WT_3674_28022024","Feci_Vecpac-WT_3675_28022024","Feci_Vecpac-WT_3677_28022024","Feci_Vecpac-WT_3678_28022024","Feci_Vecpac-WT_3679_29022024","Feci_Vecpac-WT_3680_29022024","Feci_Vecpac-WT_3681_29022024","Feci_Vecpac-WT_3687_29022024","Feci_Vecpac-WT_3688_29022024"
"Erythrono-1,4-lactone","-0.699279398","-0.006761390","-0.865508174","-0.152923493","-1.190539685","-0.005747978","-0.636237490","-0.792363283"," 0.974688305","-0.695973230","-0.101935998","-0.148362830","-0.480387836","-0.779309079","-0.002932827","-0.221224032","-0.227815823"," 0.943217242"," 0.248073230","-0.054420252","-0.297343887","-0.723236712"," 1.500568609"," 0.051087741"," 4.306002863","-0.632566419"," 0.220166912","-0.910145729","-0.477923474","-0.072511331","-0.379500613","-0.160818491","-0.359756965","-1.960418369","-1.903214881","-2.028088292","-0.603577762","-0.347841725","-0.180926170","-0.792795652","-0.120621207"," 1.391358394"," 1.167792660"," 0.518080187"," 2.917855102","-1.188470159","-0.711902986","-0.658193105","-0.990604516","-0.807105935","-1.122420424","-1.178499931","-0.818591128"," 0.149181013"," 1.688740273"," 0.951609679"," 0.261054467","-0.047410863","-0.244944114","-0.723015549"," 0.356078525","-0.154758867","-0.850803716","-0.536974195","-0.588452788","-0.253131802"," 0.922626935","-0.155506613"," 0.128463708","-0.567140247"," 0.888106989","-0.678209771"," 0.365649881","-0.235327085"," 0.137973614","-0.904355245","-0.132494326","-0.414890846","-0.613594130","-1.219915639","-0.689328232"," 0.022216395"," 0.836349462"," 1.889062710"," 1.041289656","-0.300999471"," 1.234463881"," 0.052858291","-0.834198794","-0.556380210","-1.337030843","-0.263626600","-0.568489564","-0.553049728","-0.931812081","-0.365612722"," 0.220664453"," 0.842561450"," 0.347796510"," 0.362770350"," 0.289319887"," 0.123850833"," 1.952461340"," 2.653654399"," 1.035219985"," 0.260800154","-1.030063923"," 0.289756035","-0.108134669"," 0.051212266","-0.103527586"," 3.974671957"," 1.345687600"," 0.778310673"," 1.391479319"," 0.483739977"," 0.038850478","-0.588580000","-0.083688837"," 0.845262984"," 0.577175116"," 0.173850909","-0.079465682"
"Ethanolamine"," 0.73211009","-0.55298784"," 0.03007485","-0.54773805","-0.20174909","-0.26991772","-0.63570145","-0.25181164","-0.21421115"," 1.57267361","-0.04846360","-0.42066488"," 0.18695392"," 0.35961336","-0.60594085","-0.25298858"," 0.04887138","-0.59261586","-0.16186463"," 0.05373742","-0.09359307"," 0.05151357","-0.90642907"," 3.62265461","-0.82035150","-0.53499650","-0.13908415"," 0.40546307","-0.11294748"," 0.03236667"," 0.67528758"," 0.58285843","-0.09775068","-0.51534886"," 1.03182378","-0.58286652","-0.44308870","-0.97592099","-0.49188121"," 0.56002137","-0.30381734","-0.52653943","-0.60614909"," 2.93799282"," 1.85119423","-0.12304752","-0.57511163","-0.20080862","-0.36696280","-0.40622306","-0.07321397","-0.40477380"," 0.01309976","-0.30220279"," 0.16539350","-0.85501642"," 0.48275730","-0.84277970"," 0.26843899","-0.82271611","-0.82888921","-0.78200075"," 0.25578776","-0.59545347","-0.40920152","-0.51446865"," 0.58084052","-0.79847610"," 0.42959179","-0.61703968","-0.11882314"," 1.26589534"," 0.46348145","-0.53125441","-0.34444732"," 0.06931386"," 0.04602332","-0.55071181","-0.68515920"," 0.09685712","-0.48401967","-0.66279125","-0.96672602","-0.01730860","-0.58452857","-0.59119608","-0.72287283","-0.62184953","-0.31208834"," 0.25930321","-0.45665193"," 0.24801199"," 0.25168485"," 0.04424840","-0.20912474"," 5.96153990"," 0.27042831"," 3.16133592","-0.84027011"," 0.19090714","-0.62150219"," 0.20613208","-0.09753761"," 4.14762013","-0.09737131","-0.05763432","-0.33840556","-0.13171297"," 0.99091228","-0.22801489"," 0.11757776"," 0.07044148"," 0.09367279","-0.92674834","-0.76907174","-0.40585175"," 0.25836300"," 1.30056872"," 0.12815964","-0.39510191","-0.68119591","-0.87039307","-0.82742821"
"Ethyl alpha-D-glucopyranoside","-0.164403982","-0.379232998","-0.347774363","-0.308974446","-0.357413431","-0.325260455","-0.403692686","-0.403703878"," 6.942315224","-0.248150079","-0.346713733","-0.067608793","-0.351990375","-0.228138039"," 0.026421757","-0.371546109","-0.312097139","-0.403371324","-0.403516818"," 0.483775345","-0.403644305","-0.395010392","-0.403980636","-0.395296872","-0.402160928","-0.316388343","-0.337981661","-0.370916454"," 0.326974861","-0.367854834"," 0.237861106"," 2.507561130","-0.396834174","-0.369225576","-0.393647270","-0.396209364","-0.377318501","-0.261480606","-0.395006219","-0.368094715","-0.403525435","-0.403658057","-0.096438398","-0.381077354","-0.281621678","-0.403683920","-0.001505377"," 0.265893455","-0.007865008","-0.142987276","-0.204686759","-0.229716529","-0.154280933","-0.403701921","-0.403734470","-0.403701177","-0.403815352","-0.151214593","-0.362731643","-0.197310015","-0.126922838","-0.097600866","-0.189956782","-0.151414523","-0.173233905","-0.136087916","-0.226395460"," 2.081056194","-0.403495512","-0.315351634","-0.402847714","-0.264566804","-0.403252502"," 0.147009146"," 0.178533601","-0.277259052","-0.403993975"," 0.287872420","-0.120574752","-0.400622327","-0.250437762","-0.335812215","-0.388423183","-0.346727982"," 0.325804112","-0.403554967"," 2.119714356","-0.394696163","-0.110794698","-0.006870564","-0.227289589","-0.273569467","-0.207845862","-0.387579168","-0.185881669","-0.243469647"," 3.270850323"," 1.530531693","-0.333591635","-0.371549855","-0.357656542","-0.288916132","-0.209115691","-0.403826466","-0.400602333","-0.399140785","-0.395182531","-0.166097799"," 2.336732316"," 1.651721554","-0.403316355","-0.184300604"," 3.486296403","-0.392088862","-0.403213299","-0.380439392"," 3.682209741","-0.392557539","-0.383454551","-0.403442486","-0.194860449","-0.358984968","-0.398371571"
"Ethyl glycolate","-1.19482624"," 0.15183312","-0.28718260","-0.05536729","-0.24177514"," 0.77487903","-0.30735696","-1.02696348"," 0.07899934","-1.19318561","-0.49950850","-0.53773666","-0.28071640"," 0.28409157","-1.18900610","-0.11200191","-0.27402081","-0.20645250","-0.28464743"," 0.37370265","-1.01602785"," 0.01644609"," 0.58069875","-1.19107262"," 5.49842419","-0.09605037","-0.75720105","-0.23342012","-0.20261620"," 0.56535005"," 0.07337556"," 0.79032604","-0.65806887"," 0.07380338","-1.18179692"," 0.68149613"," 0.49343395"," 1.04687605"," 0.75267458"," 0.76627972","-0.19749274","-0.09160396"," 0.00880104","-1.19273853"," 3.73368126","-0.46266720","-0.38051510"," 1.42034681","-0.12597033","-0.38897087","-0.26431471","-0.57727560","-0.47533021"," 0.45042699","-0.26223881"," 0.52674387"," 0.35613828","-1.19599744","-0.13375309","-0.30145915"," 0.20697858"," 0.18988880","-0.39269636","-0.34088442","-0.67027797","-0.56671099"," 0.87257609","-0.87143056"," 0.96081527"," 1.00336611"," 0.03043096"," 0.19759213","-1.18616264","-0.58004724","-0.75012615","-0.72527668","-0.70888090"," 0.09967533","-0.54577997","-1.14741751","-0.64858707"," 2.72925870","-0.97392989","-0.12197316"," 1.17449854","-0.05897871","-0.69190522","-0.38360041","-0.37302855","-0.27993717","-0.44317354","-0.10614882","-0.35957167","-0.68221228","-0.52659495","-1.18994079"," 1.76657190"," 2.23408764"," 0.21394193"," 0.23133353"," 0.13406513"," 0.79890469"," 3.17475193"," 2.14364363","-0.46864440","-0.14175641"," 0.17025729","-0.63611876"," 0.38913082"," 0.10830706","-0.54309588"," 1.34848557"," 0.06803127","-0.41119474","-0.43032036"," 0.61704665","-0.22219685","-1.18804329","-1.19089800"," 0.73207580","-0.42980386","-0.65243053","-0.37743776"
"Ferulic acid","-0.256758849","-0.094887091","-0.418736988","-0.814143197","-0.806568944","-0.741194557","-1.025139386","-1.689020244","-1.020347931","-0.637571120"," 1.010680634","-0.293864804","-0.547027285"," 0.549381233","-0.840567518","-1.095870375"," 0.685961757","-0.641995690","-0.703962000"," 0.257263283","-0.421620790","-0.779411981","-0.472236937"," 0.954418900"," 3.322652916","-0.655832447"," 0.821009442"," 2.086242479","-0.388966989"," 1.371865735"," 0.667480574","-0.263669133","-0.202197995"," 0.823981187"," 1.204580611","-0.416203447"," 1.315874816"," 0.869793869"," 0.083840134"," 0.049243920"," 0.929774064","-0.841390955","-0.727930039"," 2.725249807"," 1.901604918","-0.352976226"," 0.896829923"," 0.452310916"," 0.433984468","-0.198013678","-0.062465929","-0.508849811","-0.001400544","-0.765667934"," 2.580744371"," 0.637689940","-0.229636682"," 0.262368355","-0.644781186","-1.090626266","-0.491859115","-0.797552865","-0.599371191","-0.883875136","-0.845528381","-0.954828057"," 1.512221902"," 0.902789470","-0.909926240"," 0.755125965"," 1.098231789"," 0.153732609"," 2.806133604","-0.334349808","-0.537902692","-1.608618977","-1.038877662","-0.885228921","-0.681304149","-0.585940649","-0.689001624","-0.039135427","-0.129864866","-1.726326839"," 1.391232577","-0.233125817"," 0.530726502"," 0.667060100","-0.187101031","-0.892915931","-0.741526294","-1.228278106","-0.295068800","-0.946994882","-0.318826716"," 0.683238620","-0.411180718","-0.432703144","-0.605471424","-0.166445889","-0.417221686"," 0.332131352"," 0.151560459","-0.833277590"," 0.186815400","-0.549308383","-0.479643905"," 1.214632129","-0.108035036","-0.138484005"," 0.373534130"," 3.545740879"," 2.016438173"," 0.236470922"," 0.035550909","-0.287368192","-0.404148410"," 0.874154665","-0.640757485"," 0.519416261"," 0.283757057","-0.713584067","-1.743028676"
"Gluconolactone (3R,4S,5R,6R)"," 0.734616561"," 0.207096499"," 0.325176401"," 0.582327993","-0.315090183","-0.908079515","-0.290148939","-0.733695544","-1.049845920","-0.456304475"," 0.690348006","-0.544062581","-0.332010750","-0.475107947","-0.256341329","-0.308527673"," 0.001703784"," 1.649173692"," 1.021855786"," 0.602984869"," 0.758618495","-0.726312583","-0.352947015"," 0.126100533","-1.016854265"," 0.040942940"," 0.299565752"," 0.462512208"," 1.112478768","-1.037020545"," 0.511434936","-0.559809474"," 0.071735497","-0.397682493"," 0.431344273","-0.055797091"," 0.639811054"," 0.362134726"," 0.323903576","-0.290941947","-0.619025764"," 0.545963001"," 1.365808600"," 0.585582882","-0.329006947"," 0.587085008"," 2.701523442","-1.056165068"," 1.234177744"," 2.001372625"," 1.291386735"," 1.407855908"," 3.436307205"," 0.968555065"," 2.604514444"," 1.303351307"," 2.328351217","-1.051920816"," 1.706777889","-1.041888292","-1.055317544"," 3.078035861","-1.055732048","-1.047909624","-1.055372169","-1.057253850"," 0.089435435","-0.221238880"," 0.202283991","-0.504755881","-0.290482372","-0.471317112","-0.035906691","-1.046039044","-1.050604527","-1.052929380","-1.057135352","-1.057591830","-1.053169816","-1.049330006","-1.049119470","-1.028171125","-0.674410624","-1.032762496","-0.188611176","-0.796409429","-1.046033118","-0.083648567","-1.049060865","-1.039325546","-1.041066358","-1.055756341","-1.055682921","-1.051882296","-1.031154432","-1.045097755","-0.417505386","-0.245683258","-0.166295078","-0.311777279","-0.032481861","-0.574681009","-1.043944380","-0.559435752"," 0.624469254"," 0.956575336"," 0.428074564","-1.042760997","-0.519333464"," 0.853622527"," 1.024163077"," 1.567394733"," 0.443202655","-1.042194769"," 1.158338086","-0.924351683"," 0.508188329"," 0.659404735"," 0.811400968"," 0.925918025"," 0.685704871"," 0.673675058","-0.199056207"
"Glucopyranose","-0.365489247","-0.144796301","-0.963534569"," 0.155508645","-0.915299064"," 0.766846329"," 0.205981485","-0.911704177"," 0.975256856","-0.320052895","-0.032003993"," 0.222055879"," 0.165149711"," 0.634329637","-0.075962164"," 0.404482612"," 0.289542004"," 1.358274215"," 0.434439011"," 0.526975798","-0.048591301","-0.035917455","-0.020771801"," 0.330035867","-0.121426161"," 0.309664470"," 0.201928553","-0.053178236","-0.225022346","-0.022316012"," 0.117352575","-0.122797995"," 0.177874619","-0.017183947"," 0.470338484","-0.376719520","-0.860694346","-0.301732140","-1.006728406","-1.050273861","-0.963364565"," 0.981491494"," 0.821938313"," 0.399792316"," 0.662334157","-1.133197060","-1.133374036","-0.981621760","-1.132720848","-1.133551845","-1.133617072","-1.133420243","-1.133471088"," 1.051155444"," 1.804638817","-1.133236990"," 1.740102360"," 1.745716460"," 0.917684926","-1.132309057","-1.133723065"," 2.841584516","-1.133766709"," 0.692325322","-1.133728817","-0.673027656","-0.038054464"," 0.310815612","-0.531104029","-0.823148258","-0.403354140","-0.617963776"," 0.504452563","-1.132746103"," 6.238941798","-1.133471608","-1.133914468"," 2.870822069","-0.341786205","-1.133092619","-1.133070451"," 0.136938517","-0.163530356","-0.340018523","-0.251479987","-0.763756745"," 0.113572569","-0.179011634"," 1.602524832","-1.132039218","-0.393737424"," 0.225006863","-1.133761537"," 0.010540497","-1.131178856"," 0.678174783","-0.461673252","-0.045214310"," 0.011303555"," 0.032213688","-0.110920607"," 0.488806424"," 1.168471343"," 1.244418290","-0.567041635"," 0.787938582","-1.124586920"," 0.012364380","-0.040430920"," 0.562650775"," 0.035699177"," 1.134988228"," 0.035061775"," 0.256343013","-0.004706343","-0.033020326"," 0.050790628"," 0.223845291"," 0.144095053","-0.008140386"," 0.143842421"," 0.287838359","-0.200980117"
"Glyceric acid"," 0.12661319"," 0.97236289"," 0.13510219","-0.62794212","-0.85191725","-0.01385144","-0.73639845","-0.45871255","-0.44287568"," 0.45050132","-0.21053170"," 0.26101581","-0.29112563"," 0.37044577"," 0.88484064","-1.15086859"," 0.45783526","-0.42011105","-0.89434423","-0.01941568","-0.91319716","-1.76474927"," 1.22854502"," 1.51324698"," 2.58505079","-0.87719737"," 0.12341841"," 0.36173175","-1.45749562","-1.26562101","-0.42987161"," 0.26439509","-0.50151956"," 0.40849276"," 1.41302694"," 0.66837301"," 1.27763701"," 0.73202276"," 2.07807564","-1.72040314"," 0.21028224","-0.66354808","-0.47558561"," 0.51800987","-1.65871984","-0.28595521","-0.76911234","-0.68907081","-0.32369051","-0.25754104","-0.62785449"," 0.22591622"," 0.26049983","-0.71023863"," 1.15366449"," 3.74170481","-0.20413527"," 0.19216854","-0.68494568","-0.72270420","-0.80346519","-1.18214058","-0.33585864","-0.34999932","-1.07361345","-0.67693925"," 1.94689590","-0.90969591"," 0.34488024"," 1.47860616"," 1.60774043","-1.51125304"," 0.13549644","-1.27495796","-0.82955724","-0.22335714","-0.73671616","-0.56610889","-0.95034329","-0.50929188","-0.47967790","-1.68334648","-1.71673651","-0.10709075"," 0.73366744","-0.46725920","-0.85719463","-0.36636382","-0.47087198"," 0.21225398","-0.71036733","-0.16436230","-0.79144562","-0.50269640","-0.35854423"," 1.30648751"," 2.33687649","-0.13553765","-1.00060232"," 1.33734336","-0.45994477"," 0.85361210"," 0.94157544"," 1.44477640"," 1.00895626","-0.12379752","-0.68793573"," 0.68834237"," 0.55122065","-1.13210675","-0.65508286"," 1.90141902"," 0.92506438"," 0.63330702"," 1.09250384"," 1.87267008","-0.08348858"," 0.33552638","-0.39905831"," 0.30377781"," 1.68944611"," 0.68177251","-0.57113715"
"Glycerol monostearate","-0.20328784","-0.20300964","-0.20488493","-0.20163746","-0.20346954","-0.20613499","-0.20322217","-0.20340813"," 2.47112172","-0.20189037","-0.20183073","-0.20454509","-0.20287774","-0.20386184","-0.19833031","-0.20224159","-0.20164760"," 3.93588646","-0.20030003","-0.19913834","-0.20241830","-0.21047727","-0.20800661","-0.20009055","-0.17777122","-0.19955179","-0.20175193","-0.19892441"," 8.72890380","-0.19301919","-0.19736868","-0.20034744","-0.20266586","-0.19830468","-0.19218960","-0.20553861","-0.20006553","-0.19843688","-0.19736907","-0.19732139","-0.20044321","-0.20264679","-0.20188656","-0.20150956","-0.20554985","-0.10243966","-0.11651990","-0.09294687","-0.05463132","-0.10760651","-0.08078476","-0.08463828","-0.09798271","-0.20337561"," 4.52867658","-0.20336326","-0.20526033","-0.20428547","-0.20484746","-0.05247262","-0.07384102","-0.05265370","-0.06790270","-0.04920237","-0.07955087","-0.01627407","-0.19657913","-0.18798005","-0.19994602","-0.19525591","-0.18918253","-0.20210843","-0.19590828","-0.02269707"," 0.03428598","-0.03196177","-0.05265370","-0.02353349","-0.03411527","-0.06798407","-0.03297623","-0.18632804","-0.19623364","-0.18979963","-0.18951151","-0.20093389","-0.19983371","-0.20088455","-0.09359453","-0.05509857","-0.09098187","-0.06141897","-0.08190051","-0.06062546","-0.09419171","-0.19912647","-0.19871395","-0.20610416","-0.20355459","-0.19977069","-0.20410166","-0.19640008","-0.19825439","-0.20544500","-0.20012028","-0.19651126","-0.19799479","-0.19735962","-0.20366302","-0.20037797","-0.19696924","-0.20167163","-0.19485992","-0.19693149","-0.19525692","-0.19131119","-0.19605034","-0.19751020","-0.19994181","-0.19906497","-0.19957110","-0.19864771","-0.19941874"
"Glycerol tricaprylate","-0.29604286"," 2.29699434","-0.29625123","-0.29582755","-0.29606657","-0.29641432","-0.29603430","-0.29605856","-0.29596834","-0.29586054","-0.29585276","-0.29620689","-0.29598936","-0.29611775","-0.29539608","-0.29590636","-0.29582887","-0.29533766","-0.29565306"," 1.13543577","-0.29592942","-0.29698084","-0.29665850","-0.29562573","-0.29271382","-0.29555544","-0.29584248","-0.29547359","-0.29579526"," 0.99447205","-0.29527062","-0.29565924"," 0.39620924","-0.29539273","-0.29459492"," 1.82918393","-0.29562246","-0.29540998"," 6.33298973","-0.29526445","-0.29567174","-0.29595923","-0.29586004","-0.29581086","-0.29633798","-0.29601529"," 0.11260806","-0.15672800","-0.29556914"," 0.04783447","-0.29640879","-0.17369562","-0.26206392","-0.29605432","-0.29612487","-0.24981378"," 0.96568687","-0.29617302","-0.29624634","-0.29518334","-0.29650810","-0.28143286"," 0.08854583","-0.29007378","-0.29651348","-0.26854982","-0.29516761"," 7.21212114","-0.29560687","-0.29499497","-0.29420260","-0.29588899","-0.29508008","-0.26776760","-0.26464539","-0.29627251"," 0.12857428"," 0.22463972","-0.02981346"," 0.43362399","-0.11015855","-0.29383019","-0.29512253","-0.29428311","-0.29424552"," 1.04042580","-0.29559222"," 0.98389593","-0.29589090","-0.25421530"," 0.05708474","-0.18051879"," 0.03699833"," 0.17833727","-0.18901195","-0.29549995","-0.29544613","-0.29641030","-0.29607767","-0.29558400","-0.29614904","-0.29514425","-0.29538617","-0.29632430","-0.29562961","-0.29515875"," 0.13170004","-0.29526943"," 1.55057021"," 2.20861902","-0.29521850","-0.29583200","-0.29494331","-0.29521358","-0.29499510","-0.29448032","-0.29509862","-0.29528908"," 0.01433081","-0.29549192","-0.29555796","-0.29543749","-0.29553808"
"Glycerol","-0.270370718","-0.246410406","-0.513718607","-0.336890304","-0.359760899","-0.392702780","-0.629321266","-0.433142407","-0.365436544","-0.149702018"," 0.081390341","-0.168867081","-0.360145565"," 0.080871659"," 0.272736405","-0.345488619"," 0.090708396","-0.045526324","-0.360468010"," 0.273861872","-0.444158858","-0.345402583"," 0.590502663"," 0.854163768"," 6.766887119","-0.582856541","-0.023994825","-0.144526128","-0.475109669"," 0.086128116","-0.059422421","-0.166943157","-0.487813436","-0.043114126"," 0.240300139"," 0.556580052"," 0.115464227","-1.082758612"," 0.348823594"," 0.236019331","-0.114918432","-0.319151706","-0.338944503"," 0.443557389"," 3.461491846","-0.724061182","-0.227940689","-0.283804863","-1.393192963","-0.035323691","-1.049160257","-1.559508468","-0.749640822","-0.681089377"," 0.542437716"," 0.366567954"," 0.024783106","-0.252748612","-0.312196134","-1.312397263","-0.985575703","-1.405219553","-0.193580825","-0.378775343","-0.595141009","-1.196248651"," 0.897523214"," 0.095594964","-0.401108747","-0.215585144"," 0.427030217","-0.008645766"," 0.372725592","-0.815969092","-0.116044532","-1.602416456","-0.095452618","-0.397068535"," 0.091413819","-0.054316105","-0.052336568"," 1.249710761","-1.491029208"," 1.463373502"," 1.599217109"," 0.455312138","-0.087148683","-0.013662587","-0.040929687"," 0.508993809","-0.663944290"," 0.163115041"," 0.743166719"," 0.499643998"," 0.075753406"," 0.433189297"," 1.372003136"," 3.786952047","-1.251680672"," 0.277266616","-0.248044772","-1.324215455"," 0.515892255"," 2.109089630","-0.106245055"," 0.158787642","-0.560922511"," 0.164746326","-0.046949440","-0.297598391","-0.312364611"," 1.357717264"," 0.533852508","-0.305739221","-0.195144298","-0.204287249"," 0.137318308"," 0.100478347","-0.682707337"," 0.350395955","-0.280337453","-0.258831504","-0.300141369"
"Glycolic acid","-0.349875332","-0.221883574","-0.539528128","-0.280528260","-0.143111652","-0.422244232"," 0.004851907"," 0.534332918","-0.074693387","-0.436483053","-0.637521038","-0.391252925","-0.826117190"," 0.010980991"," 0.371762985","-0.638890121"," 0.401494807"," 0.492255437","-0.196911674","-0.433714370"," 0.212645837","-0.239367074"," 0.165097547"," 1.202300464"," 6.749634086","-0.858365552"," 0.227823780","-0.267903439","-0.610451734","-0.311903183","-0.501984327","-0.258542466","-0.989667693","-0.821588764","-0.405018987","-0.159345084"," 0.027166847"," 0.206718073"," 0.521797778","-0.084649229"," 0.161711820"," 0.148001145","-0.241730166"," 0.102760775"," 1.767845450","-1.167185546","-1.284259427","-0.807022197","-0.964299085","-0.892100964","-0.910831924","-1.013146139","-0.995672152"," 0.866293155"," 0.388874550"," 1.090519231"," 0.136154388","-0.199396110"," 0.018570989","-0.846594875"," 0.424850767","-0.177641277","-0.847639240","-0.884388216","-1.117026221","-0.813487742"," 0.091303180","-0.708141231","-0.068341877"," 0.237924669"," 0.595884163","-0.854162498","-0.333324738","-0.792833360","-0.725557896","-0.963032429","-0.340583588","-0.976084221","-0.910671312","-1.573943558","-0.143726564"," 1.358037268"," 0.196681151"," 1.116685691","-0.301517626"," 0.800434933"," 0.040674366"," 0.232383676","-1.317598941","-0.324549090","-1.243354262","-0.396281446","-0.797834043","-0.334963594","-1.126579180"," 0.583108346","-0.455225903"," 2.829778067"," 0.408089242"," 0.652647398"," 0.622739265"," 1.107264780"," 2.067956623"," 0.454291004","-0.244352839"," 1.787896018","-0.733732312"," 0.565001580","-0.362931932"," 0.381109077","-0.422895496"," 2.009560444"," 0.152836512"," 1.055226052"," 0.959092575"," 1.091799487"," 1.199007997","-0.718404455","-0.190787221"," 0.026980357"," 1.121737982"," 0.912019696"," 0.732778031"
